,Section,Email Address,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade,Floor Score,Exam Score
kxb12460,1,kevin.baker@univ.edu,Kevin,Baker,93.0,100,57,60,85,90,77,100,88,100,83,100,66,80,73,80,36,60,57,80,75,100,100,100,85,100,5,10,12,5,6,0.75,1.0,0.85,0.8411764705882353,0.8354444444444444,0.8411764705882353,0.5507246376811594,0.536847466259231,0.5507246376811594,0.766687979539642,77.0,C,70.0,0.265
wxb12345,1,woody.barrera_jr@univ.edu,Woody,Barrera,75.0,100,39,60,89,90,74,100,88,100,71,100,48,80,55,80,53,60,58,80,86,100,98,100,80,100,7,10,11,10,8,0.86,0.98,0.8,0.7647058823529411,0.7614722222222221,0.7647058823529411,0.6666666666666666,0.6662083015024192,0.6666666666666666,0.7668823529411765,77.0,C,70.0,0.261
rxb03007,1,richard.beck@univ.edu,Richard,Beck,90.0,100,57,60,76,90,93,100,74,100,77,100,62,80,64,80,42,60,49,80,99,100,76,100,74,100,5,5,9,5,12,0.99,0.76,0.74,0.8047058823529412,0.8021944444444445,0.8047058823529412,0.5217391304347826,0.5348866819455055,0.5348866819455055,0.7188483575248281,72.0,C,70.0,0.2365
jnb42925,1,jeremy.black@univ.edu,Jeremy,Black,65.0,100,44,60,88,90,66,100,78,100,62,100,51,80,59,80,43,60,66,80,79,100,79,100,80,100,6,8,10,7,13,0.79,0.79,0.8,0.731764705882353,0.7337777777777779,0.7337777777777779,0.6376811594202898,0.6500713012477718,0.6500713012477718,0.7270325014854427,73.0,C,70.0,0.23850000000000002
nab12427,1,natasha.blair@univ.edu,Natasha,Blair,92.0,100,38,60,87,90,87,100,69,100,81,100,76,80,76,80,37,60,76,80,61,100,92,100,83,100,12,8,7,10,10,0.61,0.92,0.83,0.8458823529411764,0.8356666666666668,0.8458823529411764,0.6811594202898551,0.716725235548765,0.716725235548765,0.8003705118411,81.0,B,80.0,0.247
txb79830,1,thomas.brewer@univ.edu,Thomas,Brewer,86.0,100,49,60,71,90,63,100,77,100,79,100,76,80,76,80,44,60,69,80,83,100,78,100,72,100,7,4,6,11,15,0.83,0.78,0.72,0.8117647058823529,0.8151388888888889,0.8151388888888889,0.6231884057971014,0.6583371530430354,0.6583371530430354,0.7510567014684661,76.0,C,70.0,0.22750000000000004
fjc75585,1,felicia.calderon@univ.edu,Felicia,Calderon,77.0,100,55,60,84,90,70,100,80,100,93,100,73,80,48,80,38,60,50,80,96,100,87,100,93,100,8,5,9,5,7,0.96,0.87,0.93,0.7858823529411765,0.7820833333333332,0.7858823529411765,0.4927536231884058,0.5060988031576267,0.5060988031576267,0.7406825821237586,75.0,C,70.0,0.2745
cxd05422,1,christopher.davis@univ.edu,Christopher,Davis,75.0,100,53,60,54,90,69,100,88,100,70,100,55,80,59,80,53,60,75,80,76,100,72,100,99,100,14,5,8,5,11,0.76,0.72,0.99,0.7658823529411765,0.7749166666666666,0.7749166666666666,0.6231884057971014,0.6700916730328494,0.6700916730328494,0.7694941685765215,77.0,C,70.0,0.2585
dxd30633,1,daniel.dean@univ.edu,Daniel,Dean,91.0,100,49,60,63,90,76,100,93,100,74,100,61,80,62,80,56,60,76,80,79,100,63,100,83,100,14,10,7,8,7,0.79,0.63,0.83,0.8247058823529412,0.82775,0.82775,0.6666666666666666,0.7011841100076395,0.7011841100076395,0.7684552330022918,77.0,C,70.0,0.22699999999999998
kxd98201,1,kevin.dean@univ.edu,Kevin,Dean,93.0,100,46,60,59,90,81,100,60,100,88,100,54,80,57,80,44,60,59,80,81,100,63,100,85,100,8,9,12,7,15,0.81,0.63,0.85,0.7541176470588236,0.7500555555555556,0.7541176470588236,0.7391304347826086,0.7566310160427807,0.7566310160427807,0.7596363636363637,76.0,C,70.0,0.231
bmd12227,1,barbara.dennis@univ.edu,Barbara,Dennis,93.0,100,58,60,59,90,98,100,74,100,74,100,71,80,79,80,40,60,68,80,64,100,63,100,80,100,12,8,6,6,12,0.64,0.63,0.8,0.84,0.840388888888889,0.840388888888889,0.6376811594202898,0.6811510058568881,0.6811510058568881,0.7555008573126221,76.0,C,70.0,0.215
rkd89894,1,rhonda.dunn@univ.edu,Rhonda,Dunn,82.0,100,58,60,79,90,68,100,62,100,96,100,57,80,59,80,39,60,76,80,98,100,95,100,85,100,5,7,8,9,8,0.98,0.95,0.85,0.7952941176470588,0.7974444444444446,0.7974444444444446,0.5362318840579711,0.5402648332060096,0.5402648332060096,0.7525572277395807,76.0,C,70.0,0.2715
lme00270,1,laura.espinoza@univ.edu,Laura,Espinoza,80.0,100,40,60,54,90,64,100,76,100,80,100,50,80,80,80,42,60,68,80,94,100,72,100,76,100,6,8,11,11,11,0.94,0.72,0.76,0.7458823529411764,0.7441666666666666,0.7458823529411764,0.6811594202898551,0.6856455309396485,0.6856455309396485,0.7370466004583651,74.0,C,70.0,0.23299999999999998
mxe43769,1,mitchell.espinoza@univ.edu,Mitchell,Espinoza,83.0,100,37,60,86,90,81,100,66,100,60,100,55,80,59,80,48,60,55,80,65,100,82,100,61,100,11,4,12,10,6,0.65,0.82,0.61,0.7411764705882353,0.7384722222222222,0.7411764705882353,0.6231884057971014,0.6373669467787115,0.6373669467787115,0.6936806722689076,70.0,C,70.0,0.20600000000000002
cxg26059,1,cameron.gallagher@univ.edu,Cameron,Gallagher,89.0,100,58,60,73,90,93,100,63,100,62,100,76,80,76,80,57,60,48,80,84,100,73,100,77,100,12,7,8,4,9,0.84,0.73,0.77,0.8176470588235294,0.8297777777777778,0.8297777777777778,0.5797101449275363,0.6127756557168322,0.6127756557168322,0.7462438078261608,75.0,C,70.0,0.23049999999999998
txg10109,1,timothy.george@univ.edu,Timothy,George,64.0,100,50,60,76,90,73,100,99,100,99,100,54,80,79,80,53,60,60,80,87,100,98,100,73,100,12,5,5,9,14,0.87,0.98,0.73,0.831764705882353,0.8323611111111111,0.8323611111111111,0.6521739130434783,0.7055767761650115,0.7055767761650115,0.7956174772939479,80.0,B,80.0,0.251
gmg77937,1,gregory.glenn@univ.edu,Gregory,Glenn,74.0,100,46,60,66,90,83,100,90,100,72,100,70,80,64,80,41,60,56,80,90,100,62,100,65,100,8,4,5,8,7,0.9,0.62,0.65,0.7788235294117647,0.7748333333333334,0.7788235294117647,0.463768115942029,0.4885637891520244,0.4885637891520244,0.6625985485103132,67.0,D,60.0,0.20450000000000002
sjg33904,1,steven.goodwin@univ.edu,Steven,Goodwin,75.0,100,39,60,65,90,60,100,80,100,80,100,65,80,68,80,60,60,48,80,98,100,91,100,70,100,6,4,4,4,14,0.98,0.91,0.7,0.7529411764705882,0.7584722222222221,0.7584722222222221,0.463768115942029,0.4999592564298446,0.4999592564298446,0.6983766658178423,70.0,C,70.0,0.245
rxg45689,1,rodney.grant@univ.edu,Rodney,Grant,83.0,100,56,60,90,90,62,100,85,100,81,100,65,80,66,80,46,60,79,80,66,100,98,100,61,100,8,9,4,10,12,0.66,0.98,0.61,0.8388235294117647,0.8435,0.8435,0.6231884057971014,0.6553705118411001,0.6553705118411001,0.7565111535523301,76.0,C,70.0,0.2225
dxg65331,1,david.green@univ.edu,David,Green,80.0,100,55,60,80,90,73,100,95,100,77,100,79,80,68,80,40,60,50,80,74,100,65,100,64,100,8,9,4,8,11,0.74,0.65,0.64,0.82,0.8184722222222222,0.82,0.5797101449275363,0.6101324166030048,0.6101324166030048,0.7090397249809015,71.0,C,70.0,0.198
jjh58247,1,jason.hawkins@univ.edu,Jason,Hawkins,83.0,100,48,60,74,90,98,100,80,100,97,100,61,80,57,80,60,60,75,80,75,100,75,100,91,100,14,5,7,11,13,0.75,0.75,0.91,0.8623529411764705,0.8614722222222223,0.8623529411764705,0.7246376811594203,0.7773745861981155,0.7773745861981155,0.8271535523300229,83.0,B,80.0,0.24900000000000003
jwh42925,1,jennifer.hernandez@univ.edu,Jennifer,Hernandez,81.0,100,49,60,83,90,82,100,66,100,92,100,60,80,57,80,48,60,74,80,78,100,91,100,84,100,9,8,12,4,9,0.78,0.91,0.84,0.8141176470588235,0.813638888888889,0.8141176470588235,0.6086956521739131,0.6186223580341228,0.6186223580341228,0.7672337662337663,77.0,C,70.0,0.256
jah64470,1,john.howard@univ.edu,John,Howard,61.0,100,41,60,74,90,85,100,71,100,80,100,60,80,50,80,47,60,63,80,97,100,72,100,86,100,13,8,5,5,15,0.97,0.72,0.86,0.7435294117647059,0.7421388888888889,0.7435294117647059,0.6666666666666666,0.7232824038706391,0.7232824038706391,0.7638964858670741,77.0,C,70.0,0.2495
