ID,Name,NetID,Email Address,Section
1234567,"Barrera Jr., Woody",WXB12345,WOODY.BARRERA_JR@UNIV.EDU,1
2345678,"Lambert, Malaika",MXL12345,MALAIKA.LAMBERT@UNIV.EDU,2
3456789,"Joyce, Traci",TXJ12345,TRACI.JOYCE@UNIV.EDU,1
4567890,"Flower, John Gregg",JGF12345,JOHN.G.2.FLOWER@UNIV.EDU,3
6586465,"Turner, Joseph Carol",JCT95195,JOSEPH.TURNER@UNIV.EDU,3
6588610,"Jenkins, Jack Jennifer",JJJ70805,JACK.JENKINS@UNIV.EDU,3
1132604,"Black, Jeremy Natalie",JNB42925,JEREMY.BLACK@UNIV.EDU,1
4138933,"Dennis, Barbara Michael",BMD12227,BARBARA.DENNIS@UNIV.EDU,1
4682311,"Archer, Cynthia",CXA91524,CYNTHIA.ARCHER@UNIV.EDU,3
1743151,"Rodriguez, Jessica Angela",JAR68061,JESSICA.RODRIGUEZ@UNIV.EDU,2
3309717,"King, Susan",SXK54772,SUSAN.KING@UNIV.EDU,1
3052949,"Fuller, Dawn",DXF17355,DAWN.FULLER@UNIV.EDU,2
5779467,"Olson, Sarah",SXO55043,SARAH.OLSON@UNIV.EDU,2
2871875,"Silva, Brandi",BXS49242,BRANDI.SILVA@UNIV.EDU,3
1729686,"Dunn, Rhonda Katherine",RKD89894,RHONDA.DUNN@UNIV.EDU,1
8322031,"Dunn, Peter Melissa",PMD76895,PETER.DUNN@UNIV.EDU,2
1951772,"Welch, Anthony Andrew",AAW76167,ANTHONY.WELCH@UNIV.EDU,3
1045330,"Green, David",DXG65331,DAVID.GREEN@UNIV.EDU,1
8681955,"Delgado, William",WXD81200,WILLIAM.DELGADO@UNIV.EDU,2
8078442,"Turner, Gregory",GXT15050,GREGORY.TURNER@UNIV.EDU,2
6936606,"Miller, Heather",HXM83188,HEATHER.MILLER@UNIV.EDU,2
3508615,"Todd, Jeff Ryan",JRT67930,JEFF.TODD@UNIV.EDU,1
1711282,"Bell, Renee",RXB46862,RENEE.BELL@UNIV.EDU,2
6086216,"Archer, Alec",AXA69912,ALEC.ARCHER@UNIV.EDU,2
2247455,"Jones, Chase Lisa",CLJ71730,CHASE.JONES@UNIV.EDU,2
1997153,"Lawson, Robert",RXL86588,ROBERT.LAWSON@UNIV.EDU,2
6571460,"Nunez, Christopher Christina",CCN88751,CHRISTOPHER.NUNEZ@UNIV.EDU,1
7508079,"Briggs, Robert Juan",RJB99544,ROBERT.BRIGGS@UNIV.EDU,2
2628228,"Martin, Lori",LXM97591,LORI.MARTIN@UNIV.EDU,3
3035414,"Wood, Randall Nathaniel",RNW11611,RANDALL.WOOD@UNIV.EDU,2
7248182,"Campbell, Brian",BXC99341,BRIAN.CAMPBELL@UNIV.EDU,3
4136435,"Hill, Calvin",CXH71998,CALVIN.HILL@UNIV.EDU,2
5873787,"Lucas, Angela",AXL06785,ANGELA.LUCAS@UNIV.EDU,2
8733785,"Baxter, Donald",DXB69009,DONALD.BAXTER@UNIV.EDU,3
8292443,"Howard, John Arthur",JAH64470,JOHN.HOWARD@UNIV.EDU,1
2760599,"Sharp, Michael Daniel",MDS70567,MICHAEL.SHARP@UNIV.EDU,3
4736898,"Clark, Stephanie",SXC87307,STEPHANIE.CLARK@UNIV.EDU,2
8867041,"Hawkins, Jason James",JJH58247,JASON.HAWKINS@UNIV.EDU,1
8456598,"Vega, Robert",RXV81295,ROBERT.VEGA@UNIV.EDU,3
6333942,"Brown, Jon",JXB48517,JON.BROWN@UNIV.EDU,3
9028556,"Hicks, Phillip Jonathan",PJH14325,PHILLIP.HICKS@UNIV.EDU,2
8031348,"Zuniga, Felicia Robert",FRZ40325,FELICIA.ZUNIGA@UNIV.EDU,3
6913503,"Estrada, Steven",SXE10327,STEVEN.ESTRADA@UNIV.EDU,3
9194426,"Holloway, Melissa Jonathan",MJH35671,MELISSA.HOLLOWAY@UNIV.EDU,3
5670823,"Yu, Gregory",GXY44950,GREGORY.YU@UNIV.EDU,1
2253736,"Gutierrez, Patricia",PXG66695,PATRICIA.GUTIERREZ@UNIV.EDU,2
4814372,"Berry, Jacob Brittney",JBB40508,JACOB.BERRY@UNIV.EDU,3
2823705,"Klein, Alexander William",AWK30253,ALEXANDER.KLEIN@UNIV.EDU,2
6504477,"Dean, Kevin",KXD98201,KEVIN.DEAN@UNIV.EDU,1
8375297,"Lee, Daniel Kristine",DKL78802,DANIEL.LEE@UNIV.EDU,1
8804618,"Brewer, Thomas",TXB79830,THOMAS.BREWER@UNIV.EDU,1
5325233,"Zamora, Thomas",TXZ51826,THOMAS.ZAMORA@UNIV.EDU,1
4566469,"Baker, Kevin",KXB12460,KEVIN.BAKER@UNIV.EDU,1
7338976,"White, Kevin James",KJW33806,KEVIN.WHITE@UNIV.EDU,3
4123885,"Lee, Christina Robin",CRL12924,CHRISTINA.LEE@UNIV.EDU,1
8284142,"Jones, Stephen",SXJ02466,STEPHEN.JONES@UNIV.EDU,2
5869026,"Glover, Brian Jennifer",BJG09950,BRIAN.GLOVER@UNIV.EDU,3
9294760,"Hernandez, Janet Daniel",JDH43008,JANET.HERNANDEZ@UNIV.EDU,3
6314169,"Walton, Sean Jimmy",SJW45923,SEAN.WALTON@UNIV.EDU,3
9375140,"Davidson, Debbie",DXD08420,DEBBIE.DAVIDSON@UNIV.EDU,3
9694711,"Davis, Christopher",CXD05422,CHRISTOPHER.DAVIS@UNIV.EDU,1
5396482,"Perez, Edward Ashley",EAP61068,EDWARD.PEREZ@UNIV.EDU,1
4407555,"Santos, Carlos",CXS10454,CARLOS.SANTOS@UNIV.EDU,1
1053290,"Miller, Jennifer",JXM86374,JENNIFER.MILLER@UNIV.EDU,3
7525799,"Riley, Amber Thomas",ATR68583,AMBER.RILEY@UNIV.EDU,1
4392105,"Sellers, David",DXS40452,DAVID.SELLERS@UNIV.EDU,3
6750968,"Martin, Amy Stephanie",ASM18749,AMY.MARTIN@UNIV.EDU,1
4206090,"Peck, Andrew Kimberly",AKP28863,ANDREW.PECK@UNIV.EDU,3
2913549,"Munoz, Jerome Carl",JCM86673,JEROME.MUNOZ@UNIV.EDU,3
